[ACTIVE],[Level],[XPCost],[MoneyCost],[Cooldown],,,,,,,
[StringId],HealActive,[Add],,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],[HealAmount],[HealDuration],[Display],[Description],,,
,1,100,200,15,0.4,1,Self Heal,Mucho Healing,,,
,2,200,250,15,0.425,1,,,,,
,3,300,300,15,0.45,1,,,,,
,4,400,350,15,0.475,1,,,,,
,5,500,400,15,0.5,1,,,,,
,6,600,450,15,0.525,1,,,,,
,7,700,500,15,0.55,1,,,,,
,8,800,550,15,0.575,1,,,,,
,9,900,600,15,0.6,1,,,,,
,10,1000,750,15,0.625,1,,,,,
,11,[Max],[Max],15,0.65,1,,,,,
,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],[Cooldown],[HealAmount],,,,,
,[IUpgrade],Bigger Heals,150,4,0,0.05,,,,,
,[IUpgrade],Faster Heals,200,4,-1,0,,,,,
,,,,,,,,,,,
[StringId],RapidFireActive,[Add],,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],[Display],[Description],,,,,
,1,100,200,10,Rapid Fire,Many rounds per second,,,,,
,2,200,250,10,,,,,,,
,3,300,300,10,,,,,,,
,4,400,350,10,,,,,,,
,5,500,400,10,,,,,,,
,6,600,450,10,,,,,,,
,7,700,500,10,,,,,,,
,8,800,550,10,,,,,,,
,9,900,600,10,,,,,,,
,10,1000,750,10,,,,,,,
,11,[Max],[Max],10,,,,,,,
,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],,,,,,,
,[IUpgrade],BiggerHeals,200,4,,,,,,,
,,,,,,,,,,,
[StringId],SentryActive,[Add],,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],[Display],[Description],,,,,
,1,100,200,10,Sentry,Deploys a friendly turret to cover fire.,,,,,
,2,200,250,10,,,,,,,
,3,300,300,10,,,,,,,
,4,400,350,10,,,,,,,
,5,500,400,10,,,,,,,
,6,600,450,10,,,,,,,
,7,700,500,10,,,,,,,
,8,800,550,10,,,,,,,
,9,900,600,10,,,,,,,
,10,1000,750,10,,,,,,,
,11,[Max],[Max],10,,,,,,,
,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],,,,,,,
,[IUpgrade],Bigger Heals,200,4,,,,,,,
,[IUpgrade],Bigger Balls,200,4,,,,,,,
,,,,,,,,,,,
[StringId],TEMPLETE,,,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],,[Description],,,,,
,1,100,200,10,,,,,,,
,2,200,250,10,,,,,,,
,3,300,300,10,,,,,,,
,4,400,350,10,,,,,,,
,5,500,400,10,,,,,,,
,6,600,450,10,,,,,,,
,7,700,500,10,,,,,,,
,8,800,550,10,,,,,,,
,9,900,600,10,,,,,,,
,10,1000,750,10,,,,,,,
,11,[Max],[Max],10,,,,,,,
,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],,,,,,,
,[IUpgrade],Bigger Heals,200,4,,,,,,,
,[IUpgrade],Bigger Balls,200,4,,,,,,,
